id,hypothesis,mechanism,supporting_evidence,contradicting_evidence,missing_evidence,alternative_explanations,confidence,confidence_rationale,source_ids,claim_ids
EXP-H01,French beach enforcement displaces launch sites along the coast and into inland waterways,"More police, surveillance and destruction of equipment at known beaches raise the cost of launching there, so organisers move launches to less-watched beaches, rivers and canals, or use taxi boats.",Home Affairs Committee (2022): launches moved further from the ports in 2021 as gangs evaded enforcement. The Border Security Commander (2026) reports signs of displacement further south and into Belgium. The Commons Library (2026) links taxi boats to better equipment detection at known departure points. The French inquiry and its officials describe a 'cascade' of displacement. Oxford cites 2022-23 reports of departures from further along the coast and inland. The NCA and Border Forensics make the same link. MMC finds departure choice varies with police presence.,Launches were already spread along 100+ km of coast in 2021 (HAC para 37). MMC says choice also depends on nationality and network. The prevented share of attempts stayed around 35-47% from 2018 to 2025 rather than rising. No systematic launch-site series exists to show a change in distribution over time.,"Annual counts of launch attempts by coastal sector (French prefecture/CROSS data), before and after specific deployments. Coordinates of taxi-boat launch and pickup points. Any published UK-France evaluation.","Organiser choice driven by nationality-based territory and network control (GI-TOC, MMC). Changes in reporting attention. Weather windows varying along the coast.",MEDIUM,"Consistent qualitative accounts from official, parliamentary, NGO and research sources, but all descriptive or attributed. No spatial time series was located.",EXP-SRC-HAC-2022;BSC-2026;EXP-SRC-HOCL-CBP9681-2026;EXP-SRC-AN-2998-2026;OXFORD-2026;NCA-LAUNCH-2026;EXP-SRC-MMC-2025;EXP-SRC-BORDERFORENSICS-2026,EXP-HAC-2021-INTERCEPTION;EXP-BSC-DISPLACEMENT-SOUTH;EXP-CBP-TAXI-MECHANISM;EXP-AN-DISPLACEMENT-CONCLUSION;EXP-OXFORD-OCCUPANCY;EXP-MMC-DEPARTURE-SPREAD;EXP-BF-MECHANISMS;EXP-PREVENTED-SHARE;TAXI-BOATS;TAXI-EXPLANATION
EXP-H02,France's 2025-26 at-sea interception doctrine for taxi boats changes launch tactics or geography,"At-sea stops of taxi boats before (or, reportedly, after) boarding remove the method's advantage in shallow water, so organisers relocate launches (for example to Belgium) or change pickup practices.",The doctrine was announced on 28 November 2025. The first interception was on 17 January 2026 at Gravelines; the first seven interceptions led to 73 people in custody. Belgian launch attempts rose to 32 in January-April 2026 from 2 in 2025. The BSC frames Belgian launches as a response to French enforcement. The Dunkirk prosecutor speculated that intercepted boats carried migrants because they had launched from Belgium.,"The doctrine is a handful of months old and only a few interceptions are documented. The French regional prefect attributes the early-2026 fall mainly to weather, and the Police aux frontières to the international context and less pressure at the Franco-Italian border. Belgian launches reportedly still collect passengers in French waters.",Count of at-sea interventions by month and location. Launch-origin data for 2026. A before/after comparison controlling for weather.,Weather (fewer windows in early 2026). Lower upstream migration pressure. Seasonal timing. The broader April 2026 funding deal and CRS deployment.,LOW,Too recent: mostly announcements and single events. Timing coincides with several other changes.,EXP-SRC-LESSOR-2025;EXP-SRC-AN-2998-2026;EXP-SRC-INFOMIGRANTS-2026;EXP-SRC-HOCL-CBP9681-2026;BSC-2026,EXP-FR-DOCTRINE-NOV2025;EXP-FR-DOCTRINE-PRACTICE;EXP-FR-FIRST-INTERCEPTION;EXP-CBP-BELGIUM-2026;EXP-DUNKIRK-PROSECUTOR-BELGIUM;EXP-FR-2026-DECLINE-ATTRIBUTION;BELGIUM-2026;BELGIUM-EXPLANATION
EXP-H03,"UK-funded French prevention (Sandhurst 2018, the 2023 Declaration, the 2026 deal) reduces arrivals","More personnel, surveillance and interception prevent a share of attempts and, over time, deter attempts.","About a third to nearly half of recorded attempts are prevented. The BSC reports over 20,000 preventions in 2025/26. 2023 arrivals fell 36% after the March 2023 Declaration. First-half 2026 arrivals are well below 2025.",The Home Office attributes most of the 2023 fall to a 93% drop in Albanians. Arrivals rose again in 2024 and 2025. The prevented share did not rise after 2023 (35% in 2025). The ICIBI found evidence for the port-security effect inconclusive. The BSC says changes cannot be attributed to any single intervention. Effectiveness reviews are not published.,Published UK-France evaluation metrics. Unique-person attempt data. A counterfactual analysis controlling for weather and upstream flows.,Nationality-specific returns (Albania). Weather. Upstream EU migration flows. Organised crime adapting by overloading to keep arrivals up.,LOW,"Prevention volumes are documented, but no evidence isolates an effect on arrivals, and official sources themselves decline to attribute.",EXP-SRC-JLD-2023;EXP-SRC-HOCL-CBP9681-2026;BSC-2026;EXP-SRC-ICIBI-2020;HO-TABLES-2026Q2,EXP-JLD-2023;EXP-PREVENTED-SERIES;EXP-PREVENTED-SHARE;EXP-BSC-PREVENTION-THIRD;EXP-CBP-2023-ALBANIA;EXP-BSC-NO-ATTRIBUTION;EXP-UKFR-2026-DEAL;EXP-ICIBI-INCONCLUSIVE
EXP-H04,"UK deterrence policy (Illegal Migration Act 2023, Rwanda, the 2025 returns pilot) reduces crossings","Lower expected benefit of arrival (no protection, removal to a third country or France) reduces demand for crossings.",Wood (2025) reports return agreements associated with fewer arrivals on viable days (abstract only). The BSC reports 'emerging' evidence of deterrence among migrants in France. The Home Office's impact assessment cites a stronger evidence base for effects on choice of destination.,"No one was forcibly relocated to Rwanda; the scheme was cancelled and most IMA provisions were repealed. The returns pilot returned 1,087 people in 11 months (about 1% of August-December 2025 arrivals). The impact assessment cites an academic consensus of little to no evidence that destination policy deters. The Home Office-commissioned review found insufficient evidence that restrictive UK asylum policy affects numbers. The Home Office Permanent Secretary could not conclude Rwanda would deter enough.",Wood's full model and return-agreement coding. Evaluation of the returns pilot. Arrival changes by nationality in scope of the pilot.,Weather. Nationality mix. French prevention. Upstream flows.,LOW,"Several policies never operated at scale, and official appraisals and reviews found insufficient evidence of deterrence. One peer-reviewed abstract suggests a return-agreement association.",EXP-SRC-WOOD-2025;BSC-2026;EXP-SRC-HO-IMB-IA-2023;EXP-SRC-NAO-RWANDA-2024;EXP-SRC-HO-DECISION-2022;EXP-SRC-UKFR-RETURNS-2026;OXFORD-2026;EXP-SRC-CCP-2025,EXP-WOOD-2025;EXP-BSC-NO-ATTRIBUTION;EXP-IA-DETERRENCE-EVIDENCE;EXP-NAO-RWANDA-VFM;EXP-HO-DECISION-REA;EXP-RETURNS-PILOT;EXP-OXFORD-RETURNS-SHARE;EXP-OXFORD-POLICY-STATUS;EXP-CCP-DETERRENCE
EXP-H05,"NCA/BSC upstream disruption and equipment seizures constrain boat supply, raising occupancy rather than reducing arrivals","Seizing boats, engines and suppliers makes equipment scarcer and costlier, so organisers load more people per available boat and deliver equipment just in time.","The BSC says organisers make the most of scarce supplies by overloading, and use just-in-time delivery. Border Forensics says supply disruption led to larger, lower-quality, overcrowded inflatables. The Commons Library reports overcrowding attributed to supply restriction and cost. The NCA says groups increased people per boat as boat events fell 3% in 2025. Boats fell 39% from 2022 to 2025 while people fell 9%.","GI-TOC and French border police attribute overloading to profit-seeking and poorer clients rather than scarcity. The BSC's claim that seizures potentially stopped up to 33,000 attempts is unexplained. Occupancy was already rising in 2019-2021, before the scale-up of upstream disruption.","Time series of seizures against boat availability or price at the coast. Evidence that loads rose after specific supply shocks, such as the arrest of a major boat supplier.","Client profile and price (H13). Enforcement at launch favouring fewer, bigger loads (H06). Larger boats (H09).",MEDIUM,"Several independent accounts propose the mechanism, but all are attributed. No supply-side data link seizures to occupancy.",BSC-2026;EXP-SRC-BORDERFORENSICS-2026;EXP-SRC-HOCL-CBP9681-2026;NCA-NSA-2026;EXP-SRC-GITOC-2024;HO-TABLES-2026Q2,EXP-BSC-JIT-OVERLOADING;EXP-BSC-SEIZURES-2025;EXP-BF-MECHANISMS;EXP-CBP-OVERCROWDING-ATTRIBUTION;EXP-NCA-2025-DRIVERS;EXP-GITOC-OVERLOADING;COMPARISON-2022-2025
EXP-H06,"Launch tactics (taxi boats, simultaneous launches, overloading) are organised-crime adaptations that raise occupancy and change pickup geography","Fewer, fuller launches and multiple simultaneous launches overwhelm limited police capacity at the beach. Taxi boats avoid beach checks by picking up people already in the water.","The BSC lists simultaneous launches, diversions, overloading and taxi boats. The Commons Library reports a taxi-boat success rate estimated at over 80%. The NCA's 2026 assessment names the taxi-boat method as a capability driver. Home Office data show fewer very large arrival days and more boats with 70+ people.",No prevalence series for taxi boats or simultaneous launches. The 80% figure is second-hand and undefined. Occupancy growth predates widespread reports of taxi boats (2019-2022).,Share of launches by method per year. French data on taxi-boat interceptions and pickups.,Supply constraint (H05). Client price and profile (H13). Larger boats (H09).,MEDIUM,"Tactics are consistently reported by official sources, but their contribution to occupancy or geography is not quantified.",BSC-2026;EXP-SRC-HOCL-CBP9681-2026;NCA-NSA-2026;NCA-LAUNCH-2026;HO-CONDITIONS-2025,BSC-TACTICS;EXP-CBP-TAXI-MECHANISM;EXP-NCA-2025-DRIVERS;EXP-COND-LARGE-DAYS;EXP-COND-BOAT-BANDS;TAXI-BOATS
EXP-H07,Weather and sea conditions drive short-term and seasonal variation in arrivals,"Low waves, favourable wind and calm surf open crossing windows; arrivals concentrate on viable days and in late summer.","Red days are 35% of days but carry 84% of arrivals (May 2021-April 2025). Wood (2025) quantifies the effects of waves, sea temperature and wind on day viability (abstract). The Home Office says fluctuations are often due to weather. The Hauts-de-France prefect attributes the early-2026 fall mainly to weather. A minister cited benign weather for the late-2024 rise. The Home Affairs Committee cites calmer weather in 2021.","Red days are not pure weather: they include recent crossing trends, and baselines were re-set in April 2023. Arrivals per red day ranged from 212 to 441, and the year to April 2023 had the fewest red days but the most arrivals. The Migration Observatory doubts that weather explains long-term increases.","An exogenous weather-only index (for example wave height and wind from reanalysis) regressed on daily launches and attempts, not just arrivals. Wood's full results.","Supply and demand shocks (Albania 2022, Horn of Africa 2025). Enforcement intensity varying by season. Reporting and detection changes.",HIGH,"Direct official and peer-reviewed support for the day-to-day and seasonal contribution. This confidence does NOT extend to multi-year trends or geography, where the evidence is weak and the red-day measure is endogenous.",HO-CONDITIONS-2025;EXP-SRC-WOOD-2025;HO-2026Q2;EXP-SRC-AN-2998-2026;EXP-SRC-HOCL-CBP9681-2026;EXP-SRC-HAC-2022,EXP-COND-RAG-METHOD;EXP-COND-REDDAY-SHARE;EXP-COND-REDDAY-YEARS;EXP-COND-ARRIVALS-PER-REDDAY;EXP-COND-JANAPR-2025;EXP-WOOD-2025;EXP-HO-WEATHER-SEASONAL;EXP-FR-2026-DECLINE-ATTRIBUTION;EXP-MIN-BENIGN-WEATHER-2024;EXP-HAC-2021-INTERCEPTION;WEATHER
EXP-H08,Tides and tidal currents shape launch timing and location,"Tidal state affects beach access, shallow-water pickups and drift, favouring certain times and places.",The Home Affairs Committee notes strong tides in the Strait (context only). The Commons Library notes that strong sea currents were believed to deter Belgian departures.,No source located that tests tides against crossings. The Home Office's red-day inputs listed do not include tide.,"Any analysis of launch or arrival times against tidal state, or French operational data on tidal timing.",Weather (H07). Enforcement patrol timing.,LOW,"No direct evidence located; noted as a gap, not disproved.",EXP-SRC-HAC-2022;EXP-SRC-HOCL-CBP9681-2026;HO-CONDITIONS-2025,EXP-CBP-BELGIUM-2026;EXP-COND-RAG-METHOD
EXP-H09,Larger boats (increased vessel capacity) explain rising people per boat,"Organisers source longer, higher-payload inflatables, so each launch carries more people.",The NCA (2021) reported inflatables up to 10 m. Oxford says more people per boat 'reflects the use of larger boats'. Border Forensics says facilitators sourced larger inflatables. Boats with 70+ people rose from 18 to 202 between the two-year periods.,"GI-TOC says bigger boats explain rising loads only 'in some sense' and that 'in the majority of cases' boats are simply packed with more people. Oxford adds that boats may be used beyond capacity. The BSC and the Commons Library emphasise overloading. French border police link higher loads to poorer clients. Occupancy measures people on arrival, not rated capacity.","Representative data on length, beam and rated payload by year (vessel workstream). Loads relative to rated capacity.","Overloading of similar boats (H05, H06, H13). A change in how boats are counted or reconciled.",MEDIUM,"Larger craft appearing is reported, but the main sources attribute much of the occupancy rise to loading density, and no representative dimension series exists.",NCA-VESSELS-2021;OXFORD-2026;EXP-SRC-BORDERFORENSICS-2026;EXP-SRC-GITOC-2024;BSC-2026;EXP-SRC-AN-2998-2026;HO-CONDITIONS-2025,VESSELS-2021;EXP-OXFORD-OCCUPANCY;EXP-BF-MECHANISMS;EXP-GITOC-OVERLOADING;EXP-BSC-JIT-OVERLOADING;EXP-DNPAF-PROFILE-PRICE;EXP-COND-BOAT-BANDS
EXP-H10,Larger boats enable longer routes (project hypothesis H2),"Greater size or payload is assumed to bring more fuel and range, allowing launches further from Dover.",Departures now occur along a wider coastline (Berck to Belgium) and from Belgium in 2026. Oxford says some journeys 'may have become longer'.,"Every source that explains wider launch geography attributes it to enforcement displacement, not vessel capability. Belgian taxi boats reportedly return to French waters to load, so the loaded passage need not be longer. Informants saw Belgian crossings as riskier because they are longer. Border Forensics finds deaths shifting closer to French shores. Overloading reduces freeboard and safety margins and would reduce, not extend, safe range. No engine, fuel or range dataset exists.",Documented origin and destination pairs with tracks. Fuel carried and engine power by year. Rated range. Where interceptions and rescues occur relative to launch sites.,"Enforcement displacement (H01, H02). Taxi-boat pickup geography (H06). Reporting of rare outliers.",LOW,No direct support; the displacement explanation accounts for the geographic observations; the evidence reviewed runs against the proposed causal link.,OXFORD-2026;EXP-SRC-HOCL-CBP9681-2026;EXP-SRC-MMC-2025;EXP-SRC-BORDERFORENSICS-2026;BSC-2026,EXP-OXFORD-OCCUPANCY;EXP-CBP-BELGIUM-2026;EXP-MMC-DEPARTURE-SPREAD;EXP-BF-MECHANISMS;EXP-BSC-DISPLACEMENT-SOUTH;BELGIUM-EXPLANATION
